indicator_id,indicator_name,wb_code,year,value,source_url
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
tax_revenue_pct_gdp,Tax Revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2024,,https://api.worldbank.org/v2/country/KE/indicator/GC.TAX.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2013,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2014,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2015,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2016,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2017,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2018,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
