fiscal_year,county_code,county_name,ind_skilled_birth_attendance_norm,ind_primary_completion_norm,ind_pupil_teacher_ratio_norm,ind_poverty_headcount_norm,service_delivery_score,components_available
2019/20,13,Tharaka-Nithi,,,,,,4
2020/21,13,Tharaka-Nithi,,,,,,4
2021/22,13,Tharaka-Nithi,,,,,,4
2022/23,13,Tharaka-Nithi,,,,,,4
2023/24,13,Tharaka-Nithi,,,,,,4
2013/14,14,Embu,,,,,,4
2014/15,14,Embu,,,,,,4
2015/16,14,Embu,,,,,,4
2016/17,14,Embu,,,,,,4
2017/18,14,Embu,,,,,,4
2018/19,14,Embu,,,,,,4
2019/20,14,Embu,,,,,,4
2020/21,14,Embu,,,,,,4
2021/22,14,Embu,,,,,,4
2022/23,14,Embu,,,,,,4
2023/24,14,Embu,,,,,,4
2013/14,15,Kitui,,,,,,4
2014/15,15,Kitui,,,,,,4
2015/16,15,Kitui,,,,,,4
2016/17,15,Kitui,,,,,,4
2017/18,15,Kitui,,,,,,4
2018/19,15,Kitui,,,,,,4
2019/20,15,Kitui,,,,,,4
2020/21,15,Kitui,,,,,,4
2021/22,15,Kitui,,,,,,4
2022/23,15,Kitui,,,,,,4
2023/24,15,Kitui,,,,,,4
2013/14,16,Machakos,,,,,,4
2014/15,16,Machakos,,,,,,4
2015/16,16,Machakos,,,,,,4
2016/17,16,Machakos,,,,,,4
2017/18,16,Machakos,,,,,,4
2018/19,16,Machakos,,,,,,4
2019/20,16,Machakos,,,,,,4
2020/21,16,Machakos,,,,,,4
2021/22,16,Machakos,,,,,,4
2022/23,16,Machakos,,,,,,4
2023/24,16,Machakos,,,,,,4
2013/14,17,Makueni,,,,,,4
2014/15,17,Makueni,,,,,,4
2015/16,17,Makueni,,,,,,4
2016/17,17,Makueni,,,,,,4
2017/18,17,Makueni,,,,,,4
2018/19,17,Makueni,,,,,,4
2019/20,17,Makueni,,,,,,4
2020/21,17,Makueni,,,,,,4
2021/22,17,Makueni,,,,,,4
2022/23,17,Makueni,,,,,,4
2023/24,17,Makueni,,,,,,4
2013/14,18,Nyandarua,,,,,,4
2014/15,18,Nyandarua,,,,,,4
